OfficeName,Pincode,District,StateName,Lat_GMAP,Long_GMAP
Digrota BO,123024,MAHENDRAGARH,HARYANA,28.3553571,76.0167053999999
Nangalmala BO,123024,MAHENDRAGARH,HARYANA,28.3730214,76.0696493
Nangla BO,123024,MAHENDRAGARH,HARYANA,28.376081,75.9087703
Bachhod BO,123021,MAHENDRAGARH,HARYANA,28.0913473,76.2001083999999
Bewal BO,123021,MAHENDRAGARH,HARYANA,28.2079951,76.2334278
Dongra Ahir BO,123021,MAHENDRAGARH,HARYANA,28.1884304,76.21025
Rattan Kalan BO,123021,MAHENDRAGARH,HARYANA,28.2461578,76.2648529
Buddin BO,123029,MAHENDRAGARH,HARYANA,28.2734201,76.1401348999999
Dadri Toe BO,124103,JHAJJAR,HARYANA,28.5085059,76.7502447
Gudha BO,124103,JHAJJAR,HARYANA,28.6422377,76.6405492
Hasanpur BO,124103,JHAJJAR,HARYANA,28.5405758,76.6116662
Jahazgarh BO,124103,JHAJJAR,HARYANA,28.6417837,76.557493
Kheri Kumar BO,124103,JHAJJAR,HARYANA,28.6193261,76.6261085
MPMajra BO,124103,JHAJJAR,HARYANA,28.6327839,76.5676071
Palra BO,124103,JHAJJAR,HARYANA,28.6493261999999,76.5329268999999
Silani BO,124103,JHAJJAR,HARYANA,28.5661685,76.6744784
Yakubpur BO,124103,JHAJJAR,HARYANA,28.4840482,76.7855866
Bhatera BO,124108,JHAJJAR,HARYANA,28.4776582,76.6921338
Chhappar BO,124108,JHAJJAR,HARYANA,28.4433134,76.5986667
Kahri BO,124108,JHAJJAR,HARYANA,28.4612448,76.6780873
Khudan BO,124108,JHAJJAR,HARYANA,28.4631837,76.6158185
Nogawan BO,124106,JHAJJAR,HARYANA,28.5391163,76.4476320999999
Sasroli BO,124106,JHAJJAR,HARYANA,28.5268294,76.397007
Sehlenga BO,124106,JHAJJAR,HARYANA,28.5817556,76.4447397
Ukhal Channa BO,124104,JHAJJAR,HARYANA,28.5700377,76.7278803
Surha BO,124104,JHAJJAR,HARYANA,28.5613715,76.7343736
Akheri Madanpur BO,124146,JHAJJAR,HARYANA,28.5185521,76.4707684
Bhurawas BO,124146,JHAJJAR,HARYANA,28.473199,76.4895636999999
Jhanswa Kalan BO,124146,JHAJJAR,HARYANA,28.483079,76.4172593999999
Nilaheri BO,124146,JHAJJAR,HARYANA,28.4909252,76.5163061
Silana BO,124103,JHAJJAR,HARYANA,28.5469808,76.6831397
Achhej BO,124106,JHAJJAR,HARYANA,28.6194322,76.4989603
Bajidpur Tappa Haveli BO,124104,JHAJJAR,HARYANA,28.5961003,76.7307663
Bhadani BO,124104,JHAJJAR,HARYANA,28.6397681,76.7235513
Khungai BO,124104,JHAJJAR,HARYANA,28.604114,76.7538514
Katesra BO,124113,ROHTAK,HARYANA,28.7685653,76.4114733
Assan BO,124406,ROHTAK,HARYANA,28.9018396,76.7697201
Humayunpur BO,124406,ROHTAK,HARYANA,28.8990402,76.8142144
Bainsi BO,124514,ROHTAK,HARYANA,29.0583361,76.4245623
Nandal BO,124514,ROHTAK,HARYANA,29.0684217,76.4953463
Titauli BO,124514,ROHTAK,HARYANA,28.9542833,76.5661622
Singhpura Kalan BO,124514,ROHTAK,HARYANA,28.9224333,76.5479113
Ajaib BO,124111,ROHTAK,HARYANA,28.9527721,76.4389549
Girawar BO,124111,ROHTAK,HARYANA,28.9875242,76.4577547
Bhaini Chanderpal BO,124112,ROHTAK,HARYANA,29.0006093,76.3072804999999
Gaddi Kheri BO,124010,ROHTAK,HARYANA,28.8918269,76.5206421
Sunari Kalan BO,124010,ROHTAK,HARYANA,28.8459406,76.5401527
Ghillaur Kalan BO,124303,ROHTAK,HARYANA,29.0337056,76.6551990999999
Chamaria BO,124303,ROHTAK,HARYANA,28.9657146,76.6015556
Kuleri BO,125047,HISAR,HARYANA,29.3649136,75.6629928
Nangthala BO,125047,HISAR,HARYANA,29.3283087,75.7051647
Shamsukh BO,125047,HISAR,HARYANA,29.3219922,75.751685
Gawar BO,125007,HISAR,HARYANA,29.1297598,75.7347783
Chaudhariwas BO,125007,HISAR,HARYANA,29.0087461999999,75.6048047
Banbhori BO,125121,HISAR,HARYANA,29.4062316,76.0464435
Faridpur BO,125121,HISAR,HARYANA,29.3694841,75.891851
Mohana BO,131001,SONIPAT,HARYANA,29.0338925999999,76.8620064
Baroli BO,131021,SONIPAT,HARYANA,29.004368,77.1887747
Khewra BO,131021,SONIPAT,HARYANA,28.9665241,77.122328
Banwasa BO,131304,SONIPAT,HARYANA,29.1436652,76.5618277
Dhanana Ahladpur BO,131304,SONIPAT,HARYANA,29.1000638,76.5140409
Sandal Kalan BO,131001,SONIPAT,HARYANA,29.0496861,76.9787075999999
Kakroi BO,131001,SONIPAT,HARYANA,28.9603813,76.9571046
Bayanpur BO,131001,SONIPAT,HARYANA,28.9620363,77.0031863
Rishikul Vidyapeeth BO,131001,SONIPAT,HARYANA,29.013802,77.0337519999999
FAZILPUR,131001,SONIPAT,HARYANA,28.9896904,77.0521289
Deepalpur BO,131021,SONIPAT,HARYANA,28.987719,77.1053673
C R Mgrh BO,123029,MAHENDRAGARH,HARYANA,28.2734201,76.1401348999999
Surethi BO,123302,REWARI,HARYANA,28.3985032,76.4447397
Tumna BO,123302,REWARI,HARYANA,28.3985032,76.4447397
Jholri BO,123303,REWARI,HARYANA,28.45105,76.3485333
Karoli BO,123303,REWARI,HARYANA,28.3828153,76.3463623999999
Asiaki Gorawas BO,123035,REWARI,HARYANA,28.338022,76.649463
Karawara BO,123035,REWARI,HARYANA,28.3711702,76.6297189
Bikaner BO,123401,REWARI,HARYANA,28.1919738,76.6190774
Mohanpur BO,123401,REWARI,HARYANA,28.0560637,76.5039130999999
Budhpur BO,123401,REWARI,HARYANA,28.2144326,76.5964999999999
Nangli Godha BO,123401,REWARI,HARYANA,28.1658639,76.5481006
Khedar BO,125121,HISAR,HARYANA,29.3594075,75.8548651999999
Panihari BO,125121,HISAR,HARYANA,29.3531556,76.042092
Kirmara BO,125047,HISAR,HARYANA,29.3788236,75.6993486
Chirod BO,125007,HISAR,HARYANA,29.0062093,75.660084
Gorchi BO,125007,HISAR,HARYANA,29.0280238,75.559693
Nangal Pathani BO,123302,REWARI,HARYANA,28.1919738,76.6190774
Ahrod BO,123102,REWARI,HARYANA,28.1869935,76.3796452999999
Muklan BO,125007,HISAR,HARYANA,29.0676928,75.6604218
Biana Khera BO,125121,HISAR,HARYANA,29.3151789,76.0253951
Bugana BO,125121,HISAR,HARYANA,29.2581163,75.8316064
Daultpur BO,125121,HISAR,HARYANA,29.4435512,75.8641045
Rajli BO,125121,HISAR,HARYANA,29.2890425,75.8679195
Sandlana BO,125121,HISAR,HARYANA,29.41692,76.0709944
Sarhera BO,125121,HISAR,HARYANA,29.3830323,75.9688209
Sarsod BO,125121,HISAR,HARYANA,29.320995,75.8345118
Badchhpar BO,125042,HISAR,HARYANA,29.1194058,76.3016617
Dhadhot BO,123029,MAHENDRAGARH,HARYANA,28.2529138,76.0438405
Dulana BO,123029,MAHENDRAGARH,HARYANA,28.2583894,76.179823
Kurawata BO,123029,MAHENDRAGARH,HARYANA,28.285716,76.1017129999999
Lawan BO,123029,MAHENDRAGARH,HARYANA,28.3431187,76.1649059
Mandola BO,123029,MAHENDRAGARH,HARYANA,28.3312043,76.0943011
Chikanwas BO,125047,HISAR,HARYANA,29.2787072,75.6542661
Siwani Bolan BO,125047,HISAR,HARYANA,29.4125874,75.6833532
Thaska BO,125047,HISAR,HARYANA,29.2701919,75.6935323
Glf Hisar BO,125011,HISAR,HARYANA,29.1932512,75.6986216
Ttc Hisar BO,125011,HISAR,HARYANA,29.1918906,75.6954088
CSF Hisar BO,125011,HISAR,HARYANA,29.2040939999999,75.685802
Gaibipur BO,125121,HISAR,HARYANA,29.4247774,75.9405178
Gurana BO,125121,HISAR,HARYANA,29.3628559999999,75.9463239999999
Chhapra BO,131304,SONIPAT,HARYANA,29.1110023,76.5632725999999
Nangal Dargu BO,123023,MAHENDRAGARH,HARYANA,27.8864714,76.0413667
Niamatpur BO,123023,MAHENDRAGARH,HARYANA,27.859017,76.1870680999999
Sareli BO,123023,MAHENDRAGARH,HARYANA,27.9345033,76.0341138
Dalanwas BO,123024,MAHENDRAGARH,HARYANA,28.3068131,76.0115058
Madhogarh BO,123024,MAHENDRAGARH,HARYANA,28.3065537,76.0331128
Nawan BO,123024,MAHENDRAGARH,HARYANA,28.3794151,76.0072749
Bhocharia BO,123021,MAHENDRAGARH,HARYANA,28.1432073,76.2870113
Garhi BO,123021,MAHENDRAGARH,HARYANA,28.1375825,76.2739795
Gokalpur BO,123021,MAHENDRAGARH,HARYANA,28.1135979,76.3203091
Tajpur BO,123021,MAHENDRAGARH,HARYANA,28.0766889,76.2392217
Akoda BO,123029,MAHENDRAGARH,HARYANA,28.2734201,76.1401348999999
Bawana BO,123029,MAHENDRAGARH,HARYANA,28.370683,76.1856191
Jhook BO,123029,MAHENDRAGARH,HARYANA,28.3156792,76.179823
Pali BO,123029,MAHENDRAGARH,HARYANA,28.3366785,76.1334449
Bayal BO,123023,MAHENDRAGARH,HARYANA,27.8656557,75.9855098
Budhwal BO,123023,MAHENDRAGARH,HARYANA,27.8374445,76.1725774
Golwa BO,123023,MAHENDRAGARH,HARYANA,27.8564774,76.0217831
Thanwas BO,123023,MAHENDRAGARH,HARYANA,27.8481003,76.1573605999999
